gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,MonthlyCharges,Churn,Contract_One year,Contract_Two year
0,0,0,-1.276681743030352,0,0,0,-1.3065896767670044,1,False,False
1,0,0,0.35172262640502505,1,0,0,-1.3065896767670044,0,True,False
0,0,1,0.7995338279997538,1,0,0,-1.5048825704571283,0,False,False
0,0,0,-1.276681743030352,1,0,0,0.37889991959904634,1,True,False
1,0,0,1.4101854665380202,1,0,1,-0.4473204707764688,0,False,False
0,1,0,1.4508955757739046,1,1,1,0.8415833382093348,1,False,False
0,0,1,-0.3810593398408947,1,1,1,0.411948735214067,0,False,False
1,0,1,1.6137360127174423,1,0,0,0.24670465713896395,0,False,False
1,0,0,1.5323157942456735,1,1,1,1.3042667568196233,1,False,False
1,0,0,-1.276681743030352,1,0,0,-1.5048825704571283,1,True,False
1,0,0,-1.276681743030352,1,0,0,-1.4718337548421077,0,False,False
1,0,1,0.06675186175383406,1,0,0,0.6432904445192112,0,False,True
1,1,1,-0.1775087936614725,1,1,1,-0.4473204707764688,0,True,False
0,1,0,-0.5846098860203168,1,1,1,0.6763392601342318,1,False,False
0,0,0,-0.7067402137279701,1,0,1,-1.4718337548421077,0,False,False
0,1,0,-0.8695806506715078,1,1,1,1.006827416284438,1,False,True
1,0,0,-0.8695806506715078,1,0,0,-0.34817402393140695,1,True,False
1,0,1,-1.276681743030352,1,1,1,0.18060702590892272,1,False,True
0,0,1,0.18888218946148735,1,0,0,0.8085345225943142,0,False,False
1,0,1,-0.4217694490767791,1,0,1,0.8085345225943142,1,False,False
0,0,0,-1.276681743030352,1,0,0,0.18060702590892272,0,False,False
0,0,1,-1.276681743030352,1,0,0,-1.5048825704571283,0,True,False
1,0,1,0.5552731725844472,1,0,0,0.5110951820591287,0,False,False
0,0,0,0.7588237187638693,1,1,0,1.4034132036646851,0,False,True
0,0,0,0.35172262640502505,1,0,0,1.3042667568196233,0,False,False
0,0,0,-1.1138413060868144,1,0,0,0.11450939467888152,1,False,False
0,0,0,0.5145630633485628,1,1,1,0.8085345225943142,1,False,False
1,0,1,-0.1367986844255881,1,0,0,-0.14988113024128333,0,False,False
0,1,0,-0.7067402137279701,1,1,0,0.907680969439376,0,False,True
1,0,0,1.6137360127174423,0,0,0,-0.017685867781200907,0,False,False
1,0,0,0.718113609527985,1,1,1,1.3042667568196233,0,False,True
1,0,1,-0.21821890289735696,1,0,1,-1.438784939227087,0,False,False
1,0,0,1.6137360127174423,1,0,0,0.6763392601342318,0,True,False
0,0,1,0.7588237187638693,1,0,0,0.18060702590892272,0,False,False
0,0,0,1.1252147018868293,1,0,0,0.9737786006694172,0,False,False
1,0,0,-0.6253199952562012,1,1,1,-1.5048825704571283,0,False,True
0,0,0,1.6137360127174423,1,0,1,-1.438784939227087,0,False,False
0,0,0,0.02604175251794963,1,0,1,1.3042667568196233,1,False,False
